Routing method,Num Users,Type,Name,Request Count,Failure Count,Failure %,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
dns_routing,500,,Aggregated,64016,6,0.01%,230.0,336.59592904696876,8.687406801585103,2016.030017088115,24.32317243739451,311.4520503077858,0.02929542332672235,230,370,410,590,840,910,1030,980,1220,1620,1940
dns_routing,1000,,Aggregated,126136,9,0.01%,230.0,348.79961397546225,49.16514243873404,4855.201141389627,23.976781751862795,614.7148759373299,0.04531335498303475,240,370,430,630,880,910,960,980,1190,1480,4810
dns_routing,1500,,Aggregated,161246,384,0.24%,610.0,661.085221310258,27.154860781815167,3956.40200374537,24.989998715885527,745.4692321254911,1.9120469321604054,590,730,870,1000,1210,1340,1420,1460,1660,1920,4240
dns_routing,2000,,Aggregated,185656,41226,22.21%,860.0,858.0016292872294,24.917245177525317,6222.860075584307,119.97530884191103,905.9310857599157,192.57133272417653,890,980,1110,1160,1340,1370,1590,1660,1840,2430,6040
faas_lightweight_routing,500,,Aggregated,66016,0,0.00%,300.0,320.3476399382808,38.625434291036306,2290.510351743084,23.836962745915574,311.47548023977396,0,310,450,540,520,560,630,650,700,1080,1760,2360
faas_lightweight_routing,1000,,Aggregated,126823,1,0.00%,360.0,378.22690394608,41.58305116710057,10912.710061242027,23.60136080639334,625.356633023121,0.009667675748763494,370,500,540,570,670,800,1200,1430,2150,5100,10650
faas_lightweight_routing,1500,,Aggregated,178652,0,0.00%,410.0,405.9836355375564,45.99401263129482,7434.92995236073,23.678756558040085,925.6777524974027,0,420,540,560,600,670,770,880,1000,1410,3190,7850
faas_lightweight_routing,2000,,Aggregated,223409,1302,0.58%,530.0,538.3065700841786,43.276605894170295,10704.56115221923,23.906107988020835,1112.800277728443,6.842548669246479,550,640,640,680,840,920,1140,1150,2530,3500,11410
faas_local_or_remote_paas_routing,500,,Aggregated,63168,0,0.00%,260.0,309.47472427470944,24.359081368422242,11028.207937590461,24.541003219296808,325.2010367347018,0,270,400,430,440,540,560,770,1030,1750,7310,11020
faas_local_or_remote_paas_routing,1000,,Aggregated,126945,0,0.00%,360.0,388.92738155914753,31.564042343478008,10737.422981098498,24.22595461935796,604.7129394313762,0.005063092743165726,360,470,540,570,630,790,1140,1180,2090,5730,10280
faas_local_or_remote_paas_routing,1500,,Aggregated,175678,9,0.01%,390.0,423.15031411217046,33.63598982071847,11352.820590972564,24.117650351873948,913.3711144063922,0.04529066691220242,400,510,590,590,710,890,1140,1190,1860,8030,11370
faas_local_or_remote_paas_routing,2000,,Aggregated,236402,0,0.00%,440.0,426.9992548359684,41.770255994476464,10162.899955127099,23.380813794320442,1165.9153376809693,0,450,510,550,600,660,750,860,920,1250,2210,9810
nginx_routing,500,,Aggregated,58824,1,0.00%,230.0,430.8673323640989,111.84394571190583,16440.484534276544,23.100210375802437,285.817591108089,0.009920217444925635,230,480,600,590,620,670,1210,5370,7280,8020,16570
nginx_routing,1000,,Aggregated,120941,1,0.00%,340.0,395.165613538094,118.21189284912786,10078.01451225303,23.084710408518557,601.4571998783895,0.00481116460664694,330,520,580,610,720,780,910,970,1540,2960,10090
nginx_routing,1500,,Aggregated,186978,1,0.00%,360.0,437.0573380167663,122.87308840961859,10501.225255613746,24.82269659297452,896.6671440248992,0.00955699910643477,370,580,640,640,710,800,990,1220,1630,2250,10130
nginx_routing,2000,,Aggregated,202510,1,0.00%,600.0,700.0985273512644,130.02134983673204,10730.942911623903,24.826931360642167,995.581170985019,0.009662243994283035,590,680,770,830,1100,1880,2700,3110,4360,7850,10780
