Routing method,Num Users,Type,Name,Request Count,Failure Count,Failure %,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
dns_routing,500,,Aggregated,64317,5,0.01%,220.0,328.3035843088548,8.80147074580118,2018.5974703749441,24.009260423943786,312.27388896129816,0.029759747282041844,220,350,410,590,840,900,1000,980,1180,1610,2010
dns_routing,1000,,Aggregated,126783,8,0.01%,230.0,343.1573713200887,48.38632939877924,4946.443805723646,24.230158936159576,630.4703573235065,0.044232719055259544,230,370,430,630,870,900,970,980,1170,1500,4990
dns_routing,1500,,Aggregated,159008,385,0.24%,590.0,674.1831942815923,26.950439898349124,4086.2745373920457,25.639444625499344,774.5420420472568,1.9093413003820896,600,720,870,980,1180,1300,1390,1500,1670,1900,4060
dns_routing,2000,,Aggregated,187405,39727,21.20%,860.0,867.1321113613336,25.387643502751757,6145.59843969374,123.13083055496597,937.060232619668,193.09991099548864,880,980,1110,1190,1290,1390,1600,1690,1880,2480,6100
faas_lightweight_routing,500,,Aggregated,64967,0,0.00%,300.0,306.3843953508194,40.31085198267948,2315.261037469444,23.972665368487434,320.073922515596,0,300,440,540,520,570,620,640,680,1100,1730,2390
faas_lightweight_routing,1000,,Aggregated,122999,1,0.00%,370.0,372.8651201559478,41.94607434435882,10828.082879982097,24.12054227681596,620.5158064059742,0.009977491032541459,370,510,540,550,640,800,1200,1420,2110,5250,10980
faas_lightweight_routing,1500,,Aggregated,181576,0,0.00%,410.0,406.645757638457,44.86048639534836,7659.683577496621,23.971017161785273,904.1095699397841,0,410,530,560,590,680,770,890,990,1400,3250,7780
faas_lightweight_routing,2000,,Aggregated,222270,1339,0.60%,540.0,532.6931067892691,43.45260569807563,10996.994409887753,23.975801549711,1111.0318053649366,6.753515134993994,540,610,650,690,820,920,1100,1200,2490,3560,10950
faas_local_or_remote_paas_routing,500,,Aggregated,65657,0,0.00%,260.0,302.50522696634386,24.609712987618025,11059.243642878233,24.228182440486098,323.6462098549377,0,270,390,420,450,550,580,760,1000,1800,7380,11050
faas_local_or_remote_paas_routing,1000,,Aggregated,125161,0,0.00%,350.0,390.36714126870703,30.95514707570082,10525.945146726375,24.257395696346798,606.5757181426003,0.004961963309508077,350,460,530,560,630,790,1100,1170,2100,5870,9960
faas_local_or_remote_paas_routing,1500,,Aggregated,181976,8,0.00%,400.0,423.6633428327059,33.879726431161544,10948.820320098675,23.946467708337686,901.9989394851096,0.04420809480158138,400,500,580,600,700,860,1120,1190,1790,8240,11090
faas_local_or_remote_paas_routing,2000,,Aggregated,236651,0,0.00%,420.0,434.69217620949985,40.79113781158319,9899.672860509778,23.779751762613294,1167.7929118609777,0,440,500,560,610,660,740,870,940,1270,2160,9800
nginx_routing,500,,Aggregated,58876,1,0.00%,220.0,432.9885643237414,113.87205190696727,17022.96361919943,23.995360510305456,293.56443375222494,0.009948210152424346,230,500,590,590,630,670,1180,5250,7480,8180,16990
nginx_routing,1000,,Aggregated,123360,0,0.00%,340.0,400.2480280896887,118.66957092092284,10103.012576181884,24.034218796784394,616.8366078179363,0.00491151840600885,330,540,590,600,700,770,900,980,1580,2980,10070
nginx_routing,1500,,Aggregated,181764,1,0.00%,360.0,434.02200448454096,122.4504253469898,10225.346102605592,24.342831042211944,897.016398055344,0.009729443370147018,360,560,620,640,710,790,970,1190,1610,2210,10030
nginx_routing,2000,,Aggregated,206401,1,0.00%,590.0,693.5655684457947,131.12904993020464,10769.338503305971,24.055556690363154,1000.1733199688631,0.0099477830143057,590,690,760,820,1080,1900,2670,3180,4370,7930,10990
