Routing method,Num Users,Type,Name,Request Count,Failure Count,Failure %,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
dns_routing,500,GET,/polls/contacts (FaaS),31847,2,0.01%,220.0,319.45356563393955,45.780151933587305,1759.2593314102285,25.39367031326312,157.30506882420067,0.010162475838331863,230,350,430,560,840,940,970,1010,1220,1490,1740
dns_routing,1000,GET,/polls/contacts (FaaS),63697,7,0.01%,240.0,340.0349264876421,47.89280154266769,4863.65210780994,26.914554291003814,301.09109493722275,0.033588424555218245,240,380,420,660,870,940,1010,1000,1170,1670,5180
dns_routing,1500,GET,/polls/contacts (FaaS),81142,215,0.26%,620.0,669.1826967530696,27.96985826419686,4170.97091610298,26.440483186631692,380.80868034117987,1.1104030852775386,590,740,870,960,1180,1310,1350,1500,1700,1890,4090
dns_routing,2000,GET,/polls/contacts (FaaS),95109,19535,20.54%,870.0,869.455573710801,24.850318904874367,4828.148570484183,128.00269684064014,465.89017895430334,95.92189785856336,890,990,1100,1220,1270,1540,1630,1660,1900,2540,4940
faas_lightweight_routing,500,GET,/polls/contacts (FaaS),31355,0,0.00%,310.0,340.58748196556644,39.273556169250284,2405.444060839729,26.783794072644284,163.43437336174262,0,330,470,540,550,610,620,640,700,820,1120,2380
faas_lightweight_routing,1000,GET,/polls/contacts (FaaS),63386,1,0.00%,450.0,460.73069586890347,43.086261178451174,10585.068861207072,26.065392293743542,296.9735146044746,0.010002402050632476,450,560,610,670,760,1080,1350,1610,2300,7350,10720
faas_lightweight_routing,1500,GET,/polls/contacts (FaaS),94981,0,0.00%,490.0,466.66826259306356,45.89155735320237,7596.450937791514,25.440749100628153,459.7423847887429,0,480,600,640,670,750,820,990,1130,1350,1840,7440
faas_lightweight_routing,2000,GET,/polls/contacts (FaaS),113807,712,0.63%,600.0,598.6371388525442,43.7345788850212,10400.729128342164,26.279292027366658,534.635336215609,3.5951781317397673,590,700,710,760,890,1000,1130,1160,2660,3480,10140
faas_local_or_remote_paas_routing,500,GET,/polls/contacts (FaaS),31601,0,0.00%,260.0,266.07849841560034,25.802944905919954,9462.881688431737,25.222439074624038,163.70532560730496,0,260,350,370,410,450,490,770,1000,1640,4390,10180
faas_local_or_remote_paas_routing,1000,GET,/polls/contacts (FaaS),64097,1,0.00%,370.0,381.8423616706422,29.8258541213595,10531.01542832063,25.828947251517167,310.1904409459573,0.004860939664986698,370,440,480,480,650,910,1190,1280,1900,5600,10000
faas_local_or_remote_paas_routing,1500,GET,/polls/contacts (FaaS),93613,5,0.01%,390.0,417.6707639100254,34.68558220523975,11041.748180873881,24.963408394315625,435.1615874012993,0.024997971746298146,410,490,520,570,750,940,1070,1340,1660,8670,11100
faas_local_or_remote_paas_routing,2000,GET,/polls/contacts (FaaS),123242,0,0.00%,410.0,437.30657201840694,41.0425291472385,9868.060731563117,25.585671720192725,590.3140992810233,0,430,470,530,550,600,770,890,970,1110,2410,9700
nginx_routing,500,GET,/polls/contacts (FaaS),29229,2,0.01%,240.0,501.85040917480046,109.43978965460583,17433.19848858116,25.5626011848429,141.82821976529033,0.010146374877765332,230,510,570,620,690,720,5370,6220,7810,8680,17230
nginx_routing,1000,GET,/polls/contacts (FaaS),60377,0,0.00%,430.0,471.4237477295759,123.18630645442249,10083.909479735907,24.97784302119203,292.50811941745764,0.004860020186756767,420,610,670,700,730,870,960,1030,1630,4040,10310
nginx_routing,1500,GET,/polls/contacts (FaaS),89904,2,0.00%,440.0,499.7462904522156,122.11399700902295,10230.337348089135,25.912388176073737,432.4097301242386,0.01003690375752893,430,620,700,720,800,870,1120,1150,1590,4250,9810
nginx_routing,2000,GET,/polls/contacts (FaaS),102517,1,0.00%,730.0,933.48990412575,126.84832922980614,10906.069947621825,26.427549841292304,518.0774473522737,0.009588363029185967,700,780,890,1090,1880,2660,3270,3500,4700,8710,10740
