Routing method,Num Users,Type,Name,Request Count,Failure Count,Failure %,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
dns_routing,500,GET,/polls/contacts (FaaS),32125,1,0.01%,220.0,329.9822689098149,45.70398088893982,1776.7964296793457,26.04029515788708,158.3839572460629,0.010027455235649801,220,350,410,570,850,930,990,980,1210,1510,1770
dns_routing,1000,GET,/polls/contacts (FaaS),63805,6,0.01%,230.0,339.66815430587366,48.075489243526846,4980.842287430586,26.275908642420614,315.1353818505609,0.034575963985214855,230,370,420,660,850,930,990,1000,1190,1690,4930
dns_routing,1500,GET,/polls/contacts (FaaS),77886,216,0.28%,600.0,676.8362264383037,28.083895079438623,4146.8389960274635,26.84203256742371,390.01927243211355,1.069158323437112,590,730,870,980,1200,1320,1380,1480,1690,1900,4100
dns_routing,2000,GET,/polls/contacts (FaaS),94696,19725,20.83%,870.0,873.8479384780676,25.62158384033334,4785.435349789739,127.00464969801803,473.12068417822803,96.09602327888683,890,990,1090,1200,1280,1500,1590,1710,1900,2500,4820
faas_lightweight_routing,500,GET,/polls/contacts (FaaS),32211,0,0.00%,320.0,327.15116234894197,39.29717368440852,2360.734106086641,26.125586565217922,159.54251134948817,0,320,460,530,560,620,630,640,680,850,1100,2350
faas_lightweight_routing,1000,GET,/polls/contacts (FaaS),62268,1,0.00%,430.0,451.8436500229076,42.502872384386706,10826.982333419897,26.15625851502723,306.7047002966492,0.009997989656807612,440,550,610,640,750,1080,1380,1610,2270,7200,11060
faas_lightweight_routing,1500,GET,/polls/contacts (FaaS),93728,0,0.00%,470.0,472.01514365721584,45.258187366073045,7553.6485756383045,25.692362712036346,454.73002832872896,0,480,590,650,660,750,830,980,1090,1390,1800,7560
faas_lightweight_routing,2000,GET,/polls/contacts (FaaS),112591,710,0.63%,600.0,588.2726534316071,43.64705554359589,10055.817686597013,25.995593873448303,558.43159941337,3.4906013629689134,600,680,720,760,860,980,1080,1170,2600,3560,10000
faas_local_or_remote_paas_routing,500,GET,/polls/contacts (FaaS),32329,0,0.00%,250.0,264.70187806799083,25.16050762744383,9826.795296793483,25.49266595929203,160.78843841003382,0,250,340,370,400,430,490,750,960,1600,4500,9850
faas_local_or_remote_paas_routing,1000,GET,/polls/contacts (FaaS),62347,0,0.00%,360.0,379.86172085593154,30.34462507618361,10491.819206229267,25.651969220216102,310.00802917122695,0.0049765393316819635,360,440,470,490,630,890,1200,1280,1860,5580,10160
faas_local_or_remote_paas_routing,1500,GET,/polls/contacts (FaaS),91598,4,0.00%,390.0,431.2955298809817,34.32645462523,10839.065495413404,25.92388581460804,444.645695953602,0.024485609048266303,390,470,520,550,730,940,1100,1320,1680,8420,10940
faas_local_or_remote_paas_routing,2000,GET,/polls/contacts (FaaS),120032,0,0.00%,410.0,420.89561983491285,40.80688190245149,9706.14785021885,26.141172639580258,592.8031982690588,0,420,470,520,540,600,750,890,940,1100,2380,9730
nginx_routing,500,GET,/polls/contacts (FaaS),29716,1,0.01%,230.0,514.5699328500006,111.23418872291384,17140.974573472846,25.966446971923794,146.96241594163297,0.009829781643616895,230,520,590,610,670,710,5150,6270,7810,8620,17030
nginx_routing,1000,GET,/polls/contacts (FaaS),60856,0,0.00%,410.0,461.1090043631795,118.67360141691579,10180.927289426441,25.797268294479,297.08172123727854,0.004965472212951061,410,600,650,680,750,850,950,990,1580,4220,10230
nginx_routing,1500,GET,/polls/contacts (FaaS),90533,1,0.00%,440.0,485.8336275262853,123.1307160948306,10305.83630752919,25.86032781868879,442.8314878497757,0.010060129002040941,430,630,680,710,760,850,1100,1170,1580,4200,9780
nginx_routing,2000,GET,/polls/contacts (FaaS),105436,1,0.00%,710.0,907.0590025643753,129.0566137585608,10756.691091149676,26.493313526889875,516.3757797084422,0.009821030480808516,710,800,910,1080,1890,2600,3160,3540,4720,8430,10890
