Routing method,Num Users,Type,Name,Request Count,Failure Count,Failure %,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
dns_routing,500,GET,/polls/help (PaaS),30747,3,0.01%,220.0,318.12515272173425,9.004589514649297,2056.3386462457556,21.72413039473493,153.94006019962558,0.020443050835837084,220,370,420,610,840,890,990,1020,1170,1650,2000
dns_routing,1000,GET,/polls/help (PaaS),60719,2,0.00%,240.0,353.3252788998565,55.2265333020526,2305.430772007237,22.101446673919252,310.3306923190601,0.00982020964998904,240,370,440,590,880,900,1000,1020,1170,1450,2330
dns_routing,1500,GET,/polls/help (PaaS),77283,167,0.22%,610.0,699.9644335069262,27.695941828853297,2847.765876279972,22.986943201514848,388.39947888278977,0.8552428328143744,590,700,880,980,1180,1250,1380,1500,1660,1900,2830
dns_routing,2000,GET,/polls/help (PaaS),93660,20447,21.83%,880.0,875.1696768904893,26.562513454166847,6122.749251675868,128.6016357614352,483.9467299316389,102.58958763815144,870,970,1090,1160,1310,1360,1620,1740,1950,2500,6140
faas_lightweight_routing,500,GET,/polls/help (PaaS),32183,0,0.00%,230.0,287.7196159824961,52.02826541364813,2262.3451194027834,21.28481669285423,162.53759914153113,0,230,390,540,530,550,560,550,810,1230,1750,2180
faas_lightweight_routing,1000,GET,/polls/help (PaaS),60333,0,0.00%,250.0,289.82968116290067,51.260512814056675,2211.5388514436113,22.18340056880545,299.0187100745979,0,250,410,540,530,560,560,600,790,1170,1290,2280
faas_lightweight_routing,1500,GET,/polls/help (PaaS),91068,0,0.00%,280.0,328.594904721533,54.184232700933855,4485.778034417826,21.887938399445403,449.67065750720093,0,280,440,530,560,570,560,650,830,1280,3550,4590
faas_lightweight_routing,2000,GET,/polls/help (PaaS),112999,653,0.58%,470.0,471.9771123968505,51.696533094932015,11312.105501332177,22.697761734377252,576.9522836664114,3.136199212693309,470,550,610,620,690,800,1020,1130,2470,3560,11280
faas_local_or_remote_paas_routing,500,GET,/polls/help (PaaS),32221,0,0.00%,270.0,327.54052374853853,53.665572072974015,11390.85306251924,21.7069873666927,162.4407135239831,0,270,440,540,570,590,620,760,1110,1940,8260,11030
faas_local_or_remote_paas_routing,1000,GET,/polls/help (PaaS),61736,0,0.00%,360.0,399.48397643858056,54.201290941802064,6327.634840000543,21.427281998697676,309.534213215137,0,360,530,570,590,660,740,900,1080,2320,6050,6470
faas_local_or_remote_paas_routing,1500,GET,/polls/help (PaaS),91910,3,0.00%,410.0,413.59875986927705,61.2566894696961,10050.29724605211,21.903703719150656,428.79336738832285,0.01985239528062466,410,550,580,630,650,780,930,1090,1790,4420,9910
faas_local_or_remote_paas_routing,2000,GET,/polls/help (PaaS),122091,0,0.00%,450.0,453.9731058477385,61.630632605469295,8037.554022546194,22.144090889115155,593.363814926763,0,440,580,630,640,680,740,810,910,1250,2170,7980
nginx_routing,500,GET,/polls/help (PaaS),30921,0,0.00%,150.0,350.21486157742765,123.02554091662377,1896.2728811209822,21.68360196272466,151.5030601270392,0,160,490,600,610,600,620,670,1120,1740,1880,2030
nginx_routing,1000,GET,/polls/help (PaaS),59140,0,0.00%,160.0,332.2755784768733,129.24814475986457,5664.418571864368,22.384831617251784,295.64833343832584,0,170,480,580,600,620,610,620,910,1520,1930,5690
nginx_routing,1500,GET,/polls/help (PaaS),88066,0,0.00%,230.0,364.5975313545377,124.21509498461782,2413.2401897496657,21.53028910367415,456.6199724807021,0,220,480,590,610,650,630,680,930,1440,1940,2480
nginx_routing,2000,GET,/polls/help (PaaS),101410,0,0.00%,480.0,492.2772390351142,123.800978831281,7262.116329546706,22.062391544170694,516.3666619151628,0,500,600,650,650,750,870,1000,1170,1730,2140,7220
