Routing method,Num Users,Type,Name,Request Count,Failure Count,Failure %,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
dns_routing,500,GET,/polls/help (PaaS),31178,3,0.01%,220.0,324.61348049050264,8.914430141399324,2032.0692257884766,21.91018731342627,156.2676610313253,0.020008357986009563,220,360,410,600,850,910,1000,990,1190,1690,1980
dns_routing,1000,GET,/polls/help (PaaS),61803,1,0.00%,230.0,340.4599667333421,55.784802554856284,2302.0960061800283,22.26584864237747,314.88996889048883,0.009783769991286937,230,370,430,600,850,920,1000,990,1180,1400,2270
dns_routing,1500,GET,/polls/help (PaaS),78685,171,0.22%,600.0,685.4008101861505,26.91476726796152,2845.0651006842804,23.09074311792673,387.0475116279065,0.8457054670841522,590,720,870,980,1180,1280,1380,1500,1670,1890,2790
dns_routing,2000,GET,/polls/help (PaaS),95327,20191,21.19%,850.0,864.7072993491927,26.300839469782183,6123.151726032428,124.21028258842416,468.7868722864364,99.19493028179866,870,970,1090,1190,1290,1390,1590,1710,1930,2500,6110
faas_lightweight_routing,500,GET,/polls/help (PaaS),31736,0,0.00%,230.0,292.4796891493485,51.02444275652442,2227.3135643031783,22.18146434459835,159.45497821511117,0,230,400,530,530,550,550,560,790,1190,1700,2180
faas_lightweight_routing,1000,GET,/polls/help (PaaS),60517,0,0.00%,250.0,294.90645132238814,51.48039618428135,2290.8450220414666,21.944044216537485,303.2269785080195,0,240,410,540,520,540,560,590,780,1200,1300,2300
faas_lightweight_routing,1500,GET,/polls/help (PaaS),92802,0,0.00%,280.0,326.3283639704995,53.54683858343143,4530.318429071367,22.044587843380953,448.769211273598,0,280,430,550,550,560,570,630,810,1290,3680,4530
faas_lightweight_routing,2000,GET,/polls/help (PaaS),111795,647,0.58%,450.0,465.19075462867676,52.62634046939506,11039.286990798506,22.134791555560703,561.3017302013558,3.175043660299468,460,550,590,620,700,820,1000,1100,2420,3530,11050
faas_local_or_remote_paas_routing,500,GET,/polls/help (PaaS),32745,0,0.00%,260.0,333.3532957469315,53.450395380577035,11143.592958273253,22.05676958512362,164.13328674239688,0,270,440,540,550,570,610,770,1080,1880,8400,11080
faas_local_or_remote_paas_routing,1000,GET,/polls/help (PaaS),61445,0,0.00%,350.0,388.15122919622684,54.976859059940935,6344.731674341082,22.036997800288255,305.40496424114804,0,350,540,570,590,640,750,920,1080,2350,5850,6380
faas_local_or_remote_paas_routing,1500,GET,/polls/help (PaaS),91294,3,0.00%,410.0,417.5477812523626,59.4134615360674,9894.246610117361,21.879219889338753,442.891303986945,0.019764839971459464,410,550,600,620,670,790,940,1100,1780,4600,10100
faas_local_or_remote_paas_routing,2000,GET,/polls/help (PaaS),117959,0,0.00%,450.0,450.89818859002764,63.19556006723811,8107.771668485504,22.03886687552336,598.5983017825996,0,450,580,620,630,690,740,840,900,1290,2160,8100
nginx_routing,500,GET,/polls/help (PaaS),30859,0,0.00%,150.0,346.864165749749,124.30652244098619,1931.160145108405,21.47684768348491,148.36194557514455,0,150,470,590,590,600,630,650,1090,1770,1870,1990
nginx_routing,1000,GET,/polls/help (PaaS),60158,0,0.00%,160.0,337.3394881939512,128.61999270673246,5654.274961912225,22.18578550726304,303.2940073885157,0,160,470,580,580,590,630,640,940,1500,1970,5700
nginx_routing,1500,GET,/polls/help (PaaS),90002,0,0.00%,230.0,356.7702696666621,128.36720170719187,2431.515314514046,21.936809680150454,448.40621493288,0,220,480,580,590,630,640,680,940,1490,1950,2480
nginx_routing,2000,GET,/polls/help (PaaS),100937,0,0.00%,490.0,480.9783377603243,128.72391749164225,7231.408384019967,22.034412394065274,497.23124465770024,0,500,600,630,640,750,860,1000,1180,1690,2150,7310
